kick_start_time_s,kick_angle_deg,kick_duration_s,reached_burnout,max_dynamic_pressure_kPa,max_altitude_reached_km,burnout_time_s,burnout_altitude_km,burnout_speed_ms,burnout_gamma_deg,specific_energy_J_per_kg,eccentricity,perigee_altitude_km,apogee_altitude_km,intersects_earth,orbit_achieved
20.0,5.0,10.0,False,1256.5451779214275,6.876503183176741,nan,nan,nan,nan,nan,nan,nan,6.876503183176741,True,False
20.0,10.0,10.0,False,1218.432307606717,6.6660054270895195,nan,nan,nan,nan,nan,nan,nan,6.6660054270895195,True,False
20.0,15.0,10.0,False,1167.4443162860412,6.402829731014557,nan,nan,nan,nan,nan,nan,nan,6.402829731014557,True,False
20.0,20.0,10.0,False,1106.3063971942229,6.097244918275624,nan,nan,nan,nan,nan,nan,nan,6.097244918275624,True,False
20.0,25.0,10.0,False,1037.6900454900187,5.75975303987693,nan,nan,nan,nan,nan,nan,nan,5.75975303987693,True,False
30.0,5.0,10.0,True,3416.2331189237248,18.24647884095367,158.71288815789472,2.9532161054462196,3211.9995004963716,-9.68167254415346,-57307413.69329665,0.8399563461896834,nan,20.750728637013584,True,False
30.0,10.0,10.0,True,3786.5164522703794,17.37319003966823,158.71288815789472,0.48008521991875025,2958.2995168927464,-10.588336283666084,-58114335.47755065,0.8650517817962751,nan,17.965253385045564,True,False
30.0,15.0,10.0,False,3735.0440317478956,16.424735604601914,nan,nan,nan,nan,nan,nan,nan,16.424735604601914,True,False
30.0,20.0,10.0,False,3543.862698726531,15.431227893748321,nan,nan,nan,nan,nan,nan,nan,15.431227893748321,True,False
30.0,25.0,10.0,False,3310.0847195672363,14.418325339557603,nan,nan,nan,nan,nan,nan,nan,14.418325339557603,True,False
40.0,5.0,10.0,True,33.26339736228191,58.77347709263023,158.71288815789472,58.77347709263023,4369.013628434933,6.333970111264905,-52380045.98075935,0.696320234698278,nan,76.17191024211049,True,False
40.0,10.0,10.0,True,33.078325699665186,55.16130553220399,158.71288815789472,55.16130553220399,4395.125120587465,5.2111304603948785,-52300392.83371319,0.6913743604886218,nan,67.1546203085808,True,False
40.0,15.0,10.0,True,32.796995630145005,51.171747218851934,158.71288815789472,51.171747218851934,4419.009544296885,4.018601133436389,-52233579.76178728,0.6869247085819035,nan,58.42102637520619,True,False
40.0,20.0,10.0,True,40.23159787737402,46.82905303703342,158.71288815789472,46.82905303703342,4438.938153740306,2.7645277798089807,-52187221.091386706,0.68330230807884,nan,50.30496003689338,True,False
40.0,25.0,10.0,True,70.152806730184,42.157852152314035,158.71288815789472,42.157852152314035,4452.071666267218,1.455231753526164,-52173973.809584886,0.680996359596935,nan,43.128649085327055,True,False
50.0,5.0,10.0,True,33.94040282484674,101.95734355052188,158.71288815789472,101.95734355052188,4094.127299918671,21.72537571156559,-53130579.12617934,0.7705559101768485,nan,263.4654409599137,True,False
50.0,10.0,10.0,True,33.807829866129325,98.57838856148813,158.71288815789472,98.57838856148813,4124.2811344281345,20.236914425530887,-53038761.920628846,0.7619828261471586,nan,242.74843843919876,True,False
50.0,15.0,10.0,True,33.61616258067863,94.88503920988552,158.71288815789472,94.88503920988552,4154.256106829714,18.704435125863185,-52949802.74852455,0.7533897817860427,nan,221.52820542890206,True,False
50.0,20.0,10.0,True,33.40899133308887,90.89156055663061,158.71288815789472,90.89156055663061,4183.90725742619,17.135102340884583,-52864198.628811546,0.7448716887576124,nan,200.10161954882741,True,False
50.0,25.0,10.0,True,33.351748168098936,86.61298088144791,158.71288815789472,86.61298088144791,4213.082626948461,15.535144897939166,-52782485.92884067,0.736524747132048,nan,178.76837517158316,True,False
60.0,5.0,10.0,True,33.99748973575542,130.3890070197601,158.71288815789472,130.3890070197601,3888.201883427855,35.860044223027934,-53683756.15617793,0.8460152194478725,nan,475.16961197379044,True,False
60.0,10.0,10.0,True,33.99748973575542,127.70321809919831,158.71288815789472,127.70321809919831,3914.064577062725,34.17870328107088,-53608145.05220729,0.8369727373534888,nan,451.2183523496436,True,False
60.0,15.0,10.0,True,33.99748973575542,124.74099535829387,158.71288815789472,124.74099535829387,3939.518483133468,32.467428089623695,-53536102.01164316,0.8277520034705063,nan,426.08229043072555,True,False
60.0,20.0,10.0,True,33.99748973575542,121.51150819643959,158.71288815789472,121.51150819643959,3964.491127920617,30.73187084713622,-53467866.20961775,0.818419834061126,nan,399.9804060043823,True,False
60.0,25.0,10.0,True,33.99748973575542,118.02564548495039,158.71288815789472,118.02564548495039,3988.91016915771,28.97722132550156,-53403666.97769279,0.8090463510829197,nan,373.1472805301575,True,False
