inclination_deg,azimuth_deg,useful_rotational_boost_ms,cross_track_rotational_ms,kick_start_s,kick_angle_deg,kick_duration_s,max_payload_kg,m0_kg,t_burn_full_s,cutoff_time_s,max_q_kPa,cutoff_altitude_km,cutoff_speed_ms,cutoff_gamma_deg,apogee_km,perigee_km,circularization_dv_ms,payload_loss_vs_28p5_kg,payload_loss_vs_28p5_pct
28.5,90.0,408.73884297255603,2.5028035786676668e-14,45.0,20.0,20.0,10334.0,500334.0,255.4890394736842,251.2061383878732,28.151318260343682,71.33484656434692,8031.247927148229,0.0013685828476365611,400.0437745721731,68.19151782185584,96.82735006206985,0.0,0.0
35.0,68.76575966835131,380.9885515168317,148.03771603091656,45.0,22.0,20.0,10418.0,500418.0,255.4890394736842,251.4820623959953,32.68924851674034,71.17593922375143,8033.396434294029,0.00177156135920879,399.99081523403896,67.93638417852577,96.88936777768595,-84.0,-0.8128507838203987
45.0,53.57279917921085,328.8761716584931,242.70950840417686,47.0,30.0,20.0,10327.0,500327.0,255.4890394736842,251.78458053719987,43.5261269444108,71.52809063994046,8022.375037082478,0.0815335444061295,400.0565695605753,68.12858517455217,96.84986519234735,7.0,0.06773756531836655
55.0,40.743115117241885,266.77105574368386,309.67829367255325,46.0,30.0,18.0,10141.0,500141.0,255.4890394736842,252.12050386916303,58.79526906261714,71.91773488985467,8012.051888643828,0.17053391610788107,400.048357443572,67.80107589289919,96.94616165282787,193.0,1.8676214437778207
70.0,22.90363481665538,159.0739593506461,376.51416601643666,42.0,30.0,18.0,10258.0,500258.0,255.4890394736842,252.7223685005077,86.82978679176986,73.86781478510052,7982.601571411766,0.47317430303610486,399.9563715001205,62.86101174568944,98.408325796594,76.0,0.7354364234565511
90.0,3.992132832553202e-15,2.847923125992158e-14,408.73884297255603,39.7,37.0,20.0,10375.0,500375.0,255.4890394736842,253.7002177608199,102.32932767998776,76.42173408307228,7953.634773646034,0.9791747819088734,393.27264504113515,35.44947528563905,104.8249806112708,-41.0,-0.3967485968647184
